libelle_organisation_niveau_07,employees,avg_sustainable_value_potential,avg_reliability_adjusted_potential,avg_absenteeism_risk,avg_learning_intensity,avg_kpi_reliability,high_absence_risk_share
Funds NAV Calculation,318,0.4407097994852371,0.32617853965217003,0.5676620108007201,0.4021920088790233,0.48742138364779874,0.4308176100628931
Custody Services,281,0.44046235277211615,0.3190555826772856,0.4996530877859235,0.37428488677194666,0.47983392645314354,0.4128113879003559
Fund Administration,255,0.4002966330519522,0.06941307742459779,0.006978105729924479,0.0060581283278823206,0.11437908496732026,0.00784313725490196
PERES Operations FA,204,0.4369037226610605,0.22123151434759186,0.2750223013233562,0.2821491207280656,0.3194444444444445,0.17647058823529413
FDS Operations,150,0.40902168979480963,0.1541163112611765,0.22452444051825673,0.15226766048885307,0.24555555555555558,0.18666666666666668
KYC,116,0.3939500261408132,0.02806580331416047,0.0,0.0,0.04741379310344827,0.0
Depositary Control,104,0.43303044866478185,0.2215463781104428,0.3265841600978527,0.3174229452054794,0.3237179487179487,0.25
Banking services,64,0.4045851186834209,0.11748486950138119,0.13681951192579506,0.05862207896857373,0.19270833333333331,0.109375
Business Implementation & Change,64,0.4349643096267003,0.16001347042620942,0.19566516674028267,0.2736515410958904,0.21875,0.171875
PERES Operations DOS,54,0.42439163915767997,0.21950291921942972,0.27804933909174195,0.2616095144298206,0.32716049382716045,0.2222222222222222
MDS SD & Pricing quality contr,49,0.47354099191203314,0.35851139832009976,0.4752433835725103,0.5279851666694075,0.5034013605442177,0.3877551020408163
Group Invoicing,45,0.42804334538760114,0.254148632344505,0.36552218296034544,0.28692362789864806,0.3925925925925926,0.3333333333333333
PERES Commercial,43,0.46305827937053956,0.2367109788693419,0.26024734982332154,0.39604922886644306,0.313953488372093,0.11627906976744186
Securities financing & collat,43,0.40198195735451675,0.07061485926371244,0.003995809022927109,0.004335869422633661,0.11627906976744186,0.0
Institutional Mandates,43,0.45197702077670604,0.3473977510281855,0.5558160078888981,0.49362151678129035,0.5116279069767442,0.3953488372093023
Coverage France,42,0.5051169609079857,0.3847814114007345,0.571592629984856,0.7598350984229307,0.5079365079365079,0.40476190476190477
Legacy IT Operations,42,0.3990912129923724,0.043971267800974524,0.03239104829210836,0.030555715436859674,0.06349206349206349,0.0
Forex Cash & derivatives,40,0.40387599205365027,0.06907829240905347,0.0,0.0,0.1125,0.0
Tax services,39,0.42884417172854167,0.2649671629445677,0.4200269547884389,0.26145426558399965,0.3974358974358974,0.41025641025641024
IT Fund Distribution Services,38,0.39526414994838716,0.018766493055102317,0.0,0.0,0.030701754385964907,0.0
Group Accounting Department,38,0.42326095938631275,0.15875994955877928,0.1508845545843407,0.18421052631578946,0.23245614035087717,0.13157894736842105
Coverage Europe excl Fr,38,0.40539572889575554,0.07294425516742471,0.0,0.0,0.11842105263157894,0.0
"Post trading, Controls & Support",38,0.4507721147306991,0.3393985767860138,0.5820497024363028,0.504050214173629,0.5,0.5
Middle Office,37,0.4694541811084044,0.3592042177238839,0.5148863527838793,0.557622993662478,0.509009009009009,0.3783783783783784
Reconciliation,36,0.44420322833117226,0.238932109790395,0.34639404201020807,0.3571156773211568,0.3425925925925926,0.16666666666666666
Group Financial Steering Act,36,0.46482660599488784,0.21961437985009308,0.22099528857479386,0.40108783239323126,0.28703703703703703,0.08333333333333333
MDS Entities & Funds,36,0.4750366517404508,0.3611514119617678,0.558827787593247,0.6202491270480794,0.5092592592592592,0.4166666666666667
PERES Product & Client Solutions,34,0.4087941471492903,0.13863126871805398,0.19493088754936605,0.16460278712613166,0.20588235294117646,0.14705882352941177
General Inspection,33,0.4671038281739206,0.23234953067312025,0.2534358603704893,0.45029057700290576,0.297979797979798,0.18181818181818182
Group Support,31,0.45280298289117205,0.2992390740137631,0.514392169155363,0.5085908866418861,0.43010752688172044,0.3225806451612903
Custody Project & Transformation,30,0.4323475181033096,0.1569513004458139,0.188150765606596,0.21564598442116573,0.21666666666666667,0.13333333333333333
IT Operations,30,0.48327805117734474,0.3745875597080739,0.4793300942285041,0.5607775987107171,0.5166666666666667,0.36666666666666664
Legal,28,0.4809939770632837,0.25211783592784653,0.21689487632508836,0.4144698975480603,0.32142857142857145,0.07142857142857142
Credit & Market Risk,28,0.43452047199674987,0.15680511626076274,0.13140459363957596,0.2117783757338552,0.2202380952380952,0.03571428571428571
Operational & Resilience Risk,27,0.44189145518588663,0.20619132609342183,0.29147362910613794,0.3605030292177754,0.29012345679012347,0.2962962962962963
Production Assurance,27,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
IT Transversal Functions,27,0.3976861772388355,0.02310190696594353,0.0,0.0,0.037037037037037035,0.0
Fund Structuring,26,0.4029970072648167,0.0864539424961311,0.14414922533297092,0.122702690138226,0.1346153846153846,0.15384615384615385
Payment Services,25,0.40090099205365026,0.06882516864912054,0.0,0.0,0.11333333333333333,0.0
Reporting & Performance Analysis,24,0.4750147535340394,0.3634623654724622,0.5216725559481743,0.5643466290625839,0.513888888888889,0.3333333333333333
Change Management,24,0.3939593253869836,0.03307299933780419,0.0,0.0,0.05555555555555555,0.0
ETD Cash Equity & Fixed Income,23,0.49504269878246193,0.3818270299195054,0.4568059609771086,0.5037224538415723,0.5144927536231885,0.17391304347826086
